company_name,benefit_type,benefit_details,link_to_benefit_details
SoFi,student_loan_repayment,"We want to help our employees achieve financial freedom, just like our members. That's why we contribute $200 per month toward your student loans to help pay down your debt plus free financial classes.",https://www.sofi.com/careers/
SoFi,tuition_assistance,"We offer frequent training, mentorship opportunities, and leadership programs to develop our people. We also cover tuition costs for approved programs, up to $5,250 per year.",https://www.sofi.com/careers/
Sotheby's,student_loan_repayment,"$150 each month toward employee's repayment of the principal amount of the debt, up to $1,800 per year.",https://www.benefitnews.com/news/sotheby-adds-student-loan-benefit
Staples,student_loan_repayment,"Eligible employees - active, full-time U.S. associates with at least one outstanding loan obligation, who have obtained or are in the process of receiving a degree from an accredited institution will have their loan principal paid at $100 per month for 36 months.",https://www.benefitnews.com/news/staples-implements-student-loan-benefit
Staples,tuition_reimbursement,"Staples also offers a tuition reimbursement program that offers eligible associates reimbursement for a portion of their tuition fees based on number of years of service. The company’s Dependent Scholarship Program provides 30 awards of $3,000 to associates’ dependents who plan to continue their education at a college, university or vocational-technical school.",
Starbucks,full_tuition_coverage,"We're committed to the success of our partners (employees). Every eligible U.S. partner working part- or full-time receives 100% tuition coverage for a first-time bachelor's degree through Arizona State University's online program. Choose from over 100 diverse undergraduate degree programs, and have our support every step of the way.",https://www.starbucks.com/careers/working-at-starbucks/education/?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com&source=dwindlestudentdebt.com
Sunrun,full_tuition_coverage,"100% tuition covered for select degrees, certificates, high school diplomas, and college preparation courses.
  
Books and fees 100% reimbursable.
  
Reimbursable skilled trade pathways for those interested in becoming a Certified Electrician, Foreman or Supervisor.",https://sunrun.guildeducation.com/partner?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com&source=dwindlestudentdebt.com
Taco Bell,full_tuition_coverage,"100% of tuition covered for select degrees, high school diplomas, & college preparation courses.",https://tacobell.guildeducation.com/partner?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com&source=dwindlestudentdebt.com
Taco Bell,tuition_assistance,"Up to $5,250/year tuition covered for a wider selection of program.

Taco Bell will cover all mandatory fees and required books for all in-network programs",
Target,full_tuition_coverage,"100% tuition coverage for select programs 
250+ programs from 40+ schools, colleges & universities available in the first year.

Undergraduate and master's degrees, certificates, bootcamps, HS completion, and college prep.

Up to $5,250/year for other undergrad programs in the Guild catalog and up to $10,000/year for more master's degrees within the Guild catalog.",https://target.guildeducation.com/partner?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com&source=dwindlestudentdebt.com
Teachable,student_loan_repayment,Supplemental student loan repayment.,https://teachable.com/careers
Teachable,tuition_assistance,Professional education stipend.,https://teachable.com/careers
Terminix,student_loan_repayment,"Terminix has worked with Tuition.io to contribute $50 per month to those members of its 10,000 employee population in need of student debt relief.",https://www.benefitnews.com/news/terminix-employees-wont-be-bugged-by-student-loans-again
The Goddard School,student_loan_repayment,"The Goddard School will cover 20% of your monthly student loan payment, up to $100 per month. There's no lifetime cap, so you could potentially get help paying on your student loans for years.",https://joinjuno.com/financial-literacy/student-loans/25-companies-that-help-employees-pay-off-student-loans
The Home Depot,tuition_reimbursement,"The program provides part-time hourly employees $1,500 for educational expenses on their first day, $3,000 to full-time hourly employees and $5,000 for salaried employees.",https://www.cnbc.com/2020/02/12/home-depot-is-hiring-80000-and-offering-up-to-5000-for-college.html
The U.S. Government,student_loan_repayment,"Agencies may make payments to the loan holder of up to a maximum of $10,000 for an employee in a calendar year and a total of not more than $60,000 for any one employee.",https://www.opm.gov/policy-data-oversight/pay-leave/student-loan-repayment/
Tyson Foods,full_tuition_coverage,"Tyson Foods partnered with social impact company Guild to expand its existing Upward Academy program to include access to more than 175 programs from over 35 of the nation's top universities and learning providers.

Tyson Foods will cover 100% of all tuition, books, and fees for team members.",https://www.tysonfoods.com/news/news-releases/2022/4/tyson-foods-launches-free-education-program-all-us-team-members
Unilever,full_tuition_coverage,"Programs that apply directly to your current job and are closely tailored to Unilever's technical needs.
  
Whether learning the basics or advancing your skill set, there's a program for you.
  
Unilever will pay 100% of the cost!",https://unilever.guildeducation.com/partner?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com&source=dwindlestudentdebt.com
Unqork,student_loan_repayment,"Student loan payback program which is listed in each job posting. $1,000 per year.",https://www.unqork.com/careers#openroles
Walmart,full_tuition_coverage,"Walmart pays 100% of your tuition and fees.

Available to hourly part-time and full-time associates who meet all other eligibility criteria
Salaried associates who work in a field facility are eligible.

Only associates without a prior bachelor’s degree.

Temp associates are not eligible.

Salaried associates (market level and above) are not eligible.",https://walmart.guildeducation.com/partner?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com&source=dwindlestudentdebt.com
Waste Management,full_tuition_coverage,"100% tuition covered for select degrees, certificates, high school diplomas and college preparation courses.
  
Team Members: 40+ master's programs with $12,000/year that often covers the entire program cost.
  
Team Members: Books and fees 100% reimbursable.
  
Spouses & Dependents: Only pay for books and fees.",https://wm.guildeducation.com/partner?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com&source=dwindlestudentdebt.com
Weedmaps,student_loan_repayment,"Weedmaps will pay $1,000 per employee per year toward either a student loan or 529 savings plan, which will be paid in monthly installments of $83.33 per employee per month.",https://www.benefitnews.com/news/student-loan-benefit-provider-goodly-adds-weedmaps-to-list-of-employer-clients
